GPT2,Mistral-7B,pythia-12b-deduped,LLaMa-3.1-8B,Mistral-24B
4.7569193840026855,6.5908203125,5.690209865570068,6.345341205596924,6.109375
4.628150939941406,6.15283203125,5.647094249725342,6.16892671585083,5.890625
4.528902053833008,7.146484375,5.629995346069336,6.171716213226318,6.51953125
4.423126220703125,7.400390625,5.774467945098877,6.2936787605285645,6.64453125
8.95501708984375,8.1171875,7.492173671722412,8.224104881286621,7.5625
8.991339683532715,7.8125,7.949696063995361,8.11391544342041,7.234375
8.743362426757812,7.69921875,7.603108882904053,8.12555980682373,7.546875
8.768828392028809,7.38671875,8.024689674377441,7.802130699157715,7.47265625
7.190326094161719,8.497125625610352,8.264579156442778,9.843981504440308,9.011919021606444
7.437878178694518,8.863334655761719,8.810072387073888,9.875267505645752,9.608644485473633
7.469122648559278,8.806940078735352,8.21288452752924,9.38230299949646,9.42283821105957
7.302244057733333,9.354103088378906,8.235684240877163,9.156221508979797,9.807796478271484
4.596474170684815,5.31640625,6.1790080070495605,4.109133243560791,2.947265625
4.464471340179443,5.91015625,6.817005634307861,4.281193733215332,3.478515625
4.289224147796631,5.61328125,6.098062515258789,4.898746490478516,3.322265625
4.319427013397217,5.7734375,6.417442321777344,4.890908241271973,3.560546875
6.750868320465088,7.57421875,7.533055782318115,7.306057453155518,8.65625
7.047236919403076,7.515625,7.428012847900391,7.225858211517334,9.015625
6.78208065032959,7.58203125,7.396316051483154,7.528203964233398,8.6171875
7.079989433288574,7.8125,7.502949237823486,7.59256649017334,9.109375
1.6075737476348877,4.5703125,3.941317558288574,4.0883708000183105,2.822265625
1.871240496635437,4.203125,3.927876472473145,3.5732522010803223,2.72265625
2.161892890930176,4.19921875,4.629067897796631,3.5822484493255615,2.5703125
1.980690598487854,4.3046875,3.993600845336914,3.780597686767578,2.630859375
2.949431896209717,3.7578125,3.4003963470458984,3.9086010456085205,3.7109375
2.9772167205810547,4.0,3.90959358215332,4.106618881225586,4.24609375
3.0454113483428955,3.193359375,3.413925170898437,3.978959560394287,3.79296875
3.187617778778076,3.537109375,4.011546611785889,3.814441680908203,4.234375
5.568660736083984,6.0625,4.314845085144043,5.726081848144531,6.34375
5.579971790313721,6.859375,4.840554237365723,6.2540364265441895,6.5625
