passage_id,version,model,surprisal
1,A,GPT2,4.7569193840026855
1,A,Mistral-7B,6.5908203125
1,A,pythia-12b-deduped,5.690209865570068
1,A,LLaMa-3.1-8B,6.345341205596924
1,A,Mistral-24B,6.109375
1,B,GPT2,4.628150939941406
1,B,Mistral-7B,6.15283203125
1,B,pythia-12b-deduped,5.647094249725342
1,B,LLaMa-3.1-8B,6.16892671585083
1,B,Mistral-24B,5.890625
1,C,GPT2,4.528902053833008
1,C,Mistral-7B,7.146484375
1,C,pythia-12b-deduped,5.629995346069336
1,C,LLaMa-3.1-8B,6.171716213226318
1,C,Mistral-24B,6.51953125
1,D,GPT2,4.423126220703125
1,D,Mistral-7B,7.400390625
1,D,pythia-12b-deduped,5.774467945098877
1,D,LLaMa-3.1-8B,6.2936787605285645
1,D,Mistral-24B,6.64453125
2,A,GPT2,8.95501708984375
2,A,Mistral-7B,8.1171875
2,A,pythia-12b-deduped,7.492173671722412
2,A,LLaMa-3.1-8B,8.224104881286621
2,A,Mistral-24B,7.5625
2,B,GPT2,8.991339683532715
2,B,Mistral-7B,7.8125
2,B,pythia-12b-deduped,7.949696063995361
2,B,LLaMa-3.1-8B,8.11391544342041
2,B,Mistral-24B,7.234375
2,C,GPT2,8.743362426757812
2,C,Mistral-7B,7.69921875
2,C,pythia-12b-deduped,7.603108882904053
2,C,LLaMa-3.1-8B,8.12555980682373
2,C,Mistral-24B,7.546875
2,D,GPT2,8.768828392028809
2,D,Mistral-7B,7.38671875
2,D,pythia-12b-deduped,8.024689674377441
2,D,LLaMa-3.1-8B,7.802130699157715
2,D,Mistral-24B,7.47265625
3,A,GPT2,7.190326094161719
3,A,Mistral-7B,8.497125625610352
3,A,pythia-12b-deduped,8.264579156442778
3,A,LLaMa-3.1-8B,9.843981504440308
3,A,Mistral-24B,9.011919021606444
3,B,GPT2,7.437878178694518
3,B,Mistral-7B,8.863334655761719
3,B,pythia-12b-deduped,8.810072387073888
3,B,LLaMa-3.1-8B,9.875267505645752
3,B,Mistral-24B,9.608644485473633
3,C,GPT2,7.469122648559278
3,C,Mistral-7B,8.806940078735352
3,C,pythia-12b-deduped,8.21288452752924
3,C,LLaMa-3.1-8B,9.38230299949646
3,C,Mistral-24B,9.42283821105957
3,D,GPT2,7.302244057733333
3,D,Mistral-7B,9.354103088378906
3,D,pythia-12b-deduped,8.235684240877163
3,D,LLaMa-3.1-8B,9.156221508979797
3,D,Mistral-24B,9.807796478271484
5,A,GPT2,4.596474170684815
5,A,Mistral-7B,5.31640625
5,A,pythia-12b-deduped,6.1790080070495605
5,A,LLaMa-3.1-8B,4.109133243560791
5,A,Mistral-24B,2.947265625
5,B,GPT2,4.464471340179443
5,B,Mistral-7B,5.91015625
5,B,pythia-12b-deduped,6.817005634307861
5,B,LLaMa-3.1-8B,4.281193733215332
5,B,Mistral-24B,3.478515625
5,C,GPT2,4.289224147796631
5,C,Mistral-7B,5.61328125
5,C,pythia-12b-deduped,6.098062515258789
5,C,LLaMa-3.1-8B,4.898746490478516
5,C,Mistral-24B,3.322265625
5,D,GPT2,4.319427013397217
5,D,Mistral-7B,5.7734375
5,D,pythia-12b-deduped,6.417442321777344
5,D,LLaMa-3.1-8B,4.890908241271973
5,D,Mistral-24B,3.560546875
6,A,GPT2,6.750868320465088
6,A,Mistral-7B,7.57421875
6,A,pythia-12b-deduped,7.533055782318115
6,A,LLaMa-3.1-8B,7.306057453155518
6,A,Mistral-24B,8.65625
6,B,GPT2,7.047236919403076
6,B,Mistral-7B,7.515625
6,B,pythia-12b-deduped,7.428012847900391
6,B,LLaMa-3.1-8B,7.225858211517334
6,B,Mistral-24B,9.015625
6,C,GPT2,6.78208065032959
6,C,Mistral-7B,7.58203125
6,C,pythia-12b-deduped,7.396316051483154
6,C,LLaMa-3.1-8B,7.528203964233398
6,C,Mistral-24B,8.6171875
6,D,GPT2,7.079989433288574
6,D,Mistral-7B,7.8125
6,D,pythia-12b-deduped,7.502949237823486
6,D,LLaMa-3.1-8B,7.59256649017334
6,D,Mistral-24B,9.109375
7,A,GPT2,1.6075737476348877
7,A,Mistral-7B,4.5703125
7,A,pythia-12b-deduped,3.941317558288574
7,A,LLaMa-3.1-8B,4.0883708000183105
7,A,Mistral-24B,2.822265625
