passage_id,version,model,surprisal
1,A,GPT2,4.304651260375977
1,A,Mistral-7B,7.599609375
1,A,pythia-12b-deduped,5.50812578201294
1,A,LLaMa-3.1-8B,6.58726167678833
1,A,Mistral-24B,6.58984375
1,B,GPT2,4.381080627441406
1,B,Mistral-7B,7.6435546875
1,B,pythia-12b-deduped,5.643139362335205
1,B,LLaMa-3.1-8B,6.7588582038879395
1,B,Mistral-24B,6.578125
1,C,GPT2,6.662386894226074
1,C,Mistral-7B,10.33343505859375
1,C,pythia-12b-deduped,8.449039459228516
1,C,LLaMa-3.1-8B,9.813204765319824
1,C,Mistral-24B,9.2734375
1,D,GPT2,7.101237773895264
1,D,Mistral-7B,10.6217041015625
1,D,pythia-12b-deduped,8.446961402893066
1,D,LLaMa-3.1-8B,10.07528305053711
1,D,Mistral-24B,9.21875
2,A,GPT2,8.172235488891602
2,A,Mistral-7B,7.09765625
2,A,pythia-12b-deduped,7.599511623382568
2,A,LLaMa-3.1-8B,7.305549621582031
2,A,Mistral-24B,7.21875
2,B,GPT2,8.545814514160156
2,B,Mistral-7B,7.2265625
2,B,pythia-12b-deduped,7.870101451873779
2,B,LLaMa-3.1-8B,7.814487457275391
2,B,Mistral-24B,7.3515625
2,C,GPT2,7.343803405761719
2,C,Mistral-7B,5.8125
2,C,pythia-12b-deduped,6.234037399291992
2,C,LLaMa-3.1-8B,4.75148868560791
2,C,Mistral-24B,5.453125
2,D,GPT2,8.189970016479492
2,D,Mistral-7B,6.1796875
2,D,pythia-12b-deduped,6.665505409240723
2,D,LLaMa-3.1-8B,5.44239616394043
2,D,Mistral-24B,6.140625
3,A,GPT2,5.100663057644852
3,A,Mistral-7B,7.08799934387207
3,A,pythia-12b-deduped,5.96558273921255
3,A,LLaMa-3.1-8B,6.350737452507019
3,A,Mistral-24B,6.6991119384765625
3,B,GPT2,5.046003303141333
3,B,Mistral-7B,6.906333923339844
3,B,pythia-12b-deduped,5.839548715564888
3,B,LLaMa-3.1-8B,6.264366507530212
3,B,Mistral-24B,6.601585388183594
3,C,GPT2,8.212570842762943
3,C,Mistral-7B,7.847686767578125
3,C,pythia-12b-deduped,7.672821518266573
3,C,LLaMa-3.1-8B,7.896591901779175
3,C,Mistral-24B,7.551788330078125
3,D,GPT2,8.299926077772398
3,D,Mistral-7B,7.7773590087890625
3,D,pythia-12b-deduped,7.647734397032764
3,D,LLaMa-3.1-8B,7.800675272941589
3,D,Mistral-24B,7.457973480224609
5,A,GPT2,4.449437141418457
5,A,Mistral-7B,5.875
5,A,pythia-12b-deduped,6.398272037506104
5,A,LLaMa-3.1-8B,4.999093055725098
5,A,Mistral-24B,3.638671875
5,B,GPT2,4.458701133728027
5,B,Mistral-7B,5.94140625
5,B,pythia-12b-deduped,6.585954666137695
5,B,LLaMa-3.1-8B,4.889524936676025
5,B,Mistral-24B,3.669921875
5,C,GPT2,4.744572639465332
5,C,Mistral-7B,4.9609375
5,C,pythia-12b-deduped,4.863359928131104
5,C,LLaMa-3.1-8B,4.391950607299805
5,C,Mistral-24B,3.13671875
5,D,GPT2,4.8136515617370605
5,D,Mistral-7B,5.046875
5,D,pythia-12b-deduped,4.737833499908447
5,D,LLaMa-3.1-8B,4.282575607299805
5,D,Mistral-24B,3.068359375
6,A,GPT2,7.3544697761535645
6,A,Mistral-7B,8.3359375
6,A,pythia-12b-deduped,7.760886192321777
6,A,LLaMa-3.1-8B,8.379809379577637
6,A,Mistral-24B,7.25390625
6,B,GPT2,7.127336025238037
6,B,Mistral-7B,8.5390625
6,B,pythia-12b-deduped,8.027168273925781
6,B,LLaMa-3.1-8B,8.750015258789062
6,B,Mistral-24B,7.3046875
6,C,GPT2,9.097073554992676
6,C,Mistral-7B,9.328125
6,C,pythia-12b-deduped,8.120135307312012
6,C,LLaMa-3.1-8B,8.912492752075195
6,C,Mistral-24B,9.3828125
6,D,GPT2,9.587613105773926
6,D,Mistral-7B,9.7578125
6,D,pythia-12b-deduped,8.810250282287598
6,D,LLaMa-3.1-8B,9.468168258666992
6,D,Mistral-24B,9.6015625
7,A,GPT2,3.4388253688812256
7,A,Mistral-7B,2.73046875
7,A,pythia-12b-deduped,3.708718776702881
7,A,LLaMa-3.1-8B,3.1590576171875
7,A,Mistral-24B,1.9501953125
7,B,GPT2,2.8849120140075684
7,B,Mistral-7B,2.66015625
7,B,pythia-12b-deduped,3.6970348358154297
7,B,LLaMa-3.1-8B,3.1408820152282715
7,B,Mistral-24B,1.94140625
7,C,GPT2,3.735631227493286
7,C,Mistral-7B,3.361328125
7,C,pythia-12b-deduped,3.4924747943878174
7,C,LLaMa-3.1-8B,4.075283527374268
7,C,Mistral-24B,2.798828125
7,D,GPT2,3.3508219718933105
7,D,Mistral-7B,3.234375
7,D,pythia-12b-deduped,3.7796685695648193
7,D,LLaMa-3.1-8B,3.9785044193267822
7,D,Mistral-24B,2.837890625
8,A,GPT2,4.224212646484375
8,A,Mistral-7B,3.298828125
8,A,pythia-12b-deduped,3.2465341091156006
8,A,LLaMa-3.1-8B,3.713585376739502
8,A,Mistral-24B,4.43359375
8,B,GPT2,4.556896209716797
8,B,Mistral-7B,3.541015625
8,B,pythia-12b-deduped,3.516934394836426
8,B,LLaMa-3.1-8B,3.9289350509643555
8,B,Mistral-24B,4.47265625
8,C,GPT2,2.755913019180298
8,C,Mistral-7B,2.533203125
8,C,pythia-12b-deduped,1.5078147649765017
8,C,LLaMa-3.1-8B,3.098050594329834
8,C,Mistral-24B,3.67578125
8,D,GPT2,2.983961582183838
8,D,Mistral-7B,2.80078125
8,D,pythia-12b-deduped,1.769141674041748
8,D,LLaMa-3.1-8B,3.407212734222412
8,D,Mistral-24B,3.845703125
9,A,GPT2,4.580173969268799
9,A,Mistral-7B,7.1953125
9,A,pythia-12b-deduped,4.531782150268555
9,A,LLaMa-3.1-8B,6.360991954803467
9,A,Mistral-24B,6.33203125
9,B,GPT2,4.618084907531738
9,B,Mistral-7B,6.98828125
9,B,pythia-12b-deduped,4.827667713165283
9,B,LLaMa-3.1-8B,5.954712867736816
9,B,Mistral-24B,6.48828125
9,C,GPT2,5.196067810058594
9,C,Mistral-7B,5.78125
9,C,pythia-12b-deduped,5.0587568283081055
9,C,LLaMa-3.1-8B,7.546308517456055
9,C,Mistral-24B,6.21875
9,D,GPT2,5.205151557922363
9,D,Mistral-7B,5.60546875
9,D,pythia-12b-deduped,5.014092445373535
9,D,LLaMa-3.1-8B,7.098596096038818
9,D,Mistral-24B,6.15234375
10,A,GPT2,1.599353909492493
10,A,Mistral-7B,2.76171875
10,A,pythia-12b-deduped,2.8369174003601074
10,A,LLaMa-3.1-8B,4.067857265472412
10,A,Mistral-24B,2.427734375
10,B,GPT2,1.4461987018585205
10,B,Mistral-7B,2.4609375
10,B,pythia-12b-deduped,2.740663528442383
10,B,LLaMa-3.1-8B,3.9191906452178955
10,B,Mistral-24B,2.376953125
10,C,GPT2,0.7604268789291382
10,C,Mistral-7B,1.3203125
10,C,pythia-12b-deduped,2.307664394378662
10,C,LLaMa-3.1-8B,2.0087766647338867
10,C,Mistral-24B,1.548828125
10,D,GPT2,0.597975492477417
10,D,Mistral-7B,1.3349609375
10,D,pythia-12b-deduped,2.390387296676636
10,D,LLaMa-3.1-8B,1.978380799293518
10,D,Mistral-24B,1.65234375
11,A,GPT2,4.615781784057617
11,A,Mistral-7B,6.02734375
11,A,pythia-12b-deduped,5.155151844024658
11,A,LLaMa-3.1-8B,6.428447246551514
11,A,Mistral-24B,6.8515625
11,B,GPT2,4.971856117248535
11,B,Mistral-7B,5.97265625
11,B,pythia-12b-deduped,5.012408256530762
11,B,LLaMa-3.1-8B,6.1753387451171875
