,0
0,Beer
1,Sophia reviewed her papers for the next hour before she left the bar.
2,The Madison Hotel
3,Beer
4,Sophia reviewed her papers for the next hour before she left the bar.
5,The Madison Hotel
6,Scotch
7,Sophia reviewed her papers for the next hour before she left the bar.
8,The Madison Hotel
9,Scotch
10,Sophia reviewed her papers for the next hour before she left the bar.
11,The Madison Hotel
12,The jolly uncle.
13,The trophy was hidden inside a hollow tree.
14,The treasure hunt took place in the neighborhood and ended at the park next door.
15,The jolly uncle.
16,The trophy was hidden inside a hollow tree.
17,The treasure hunt took place in the neighborhood and ended at the park next door.
18,The jolly nephew.
19,The trophy was hidden inside a hollow tree.
20,The treasure hunt took place in the neighborhood and ended at the park next door.
21,The jolly nephew.
22,The trophy was hidden in a hollow tree.
23,The treasure hunt took place in the neighborhood and ended at the park next door.
24,The chef would use the metal knife to complete his preparations.
25,"No, the chef should not have been so frustrated."
26,The chef was in the kitchen when he realized he forgot his spice kit.
27,The chef would use the metal knife to complete his preparations.
28,"No, the chef should not have been so frustrated."
29,The chef was in the kitchen when he realized he forgot his spice kit.
30,The chef would use the metal tongs to complete his preparations.
31,"No, the chef should not have been so frustrated."
32,The chef was in the kitchen when he realized he forgot his spice kit.
33,The chef would use the metal tongs to complete his preparations.
34,"No, the chef should not have been so frustrated."
35,The chef was in the kitchen when he realized he forgot his spice kit.
36,The fierce animal the daughters wanted to see was a lion.
37,It took the family two hours to arrive at the exhibit.
38,The exhibit was located far from the zoo's entrance.
39,The fierce animal the daughters wanted to see was a lion.
40,It took the family two hours to arrive at the exhibit.
41,The exhibit was located far from the zoo's entrance.
42,The fierce animal the daughters wanted to see was a cheetah.
43,It took the family two hours to arrive at the exhibit.
44,The exhibit was located far from the zoo's entrance.
45,The fierce animal the daughters wanted to see was a cheetah.
46,It took the family two hours to arrive at the exhibit.
47,The exhibit was located far from the zoo's entrance.
48,The mechanic kicked a metal chair.
49,The mechanic found his toolbox in the trunk of his car.
50,The mechanic opened the trunk of his car.
51,The mechanic kicked a metal chair.
52,The mechanic found his toolbox in the trunk of his car.
53,The mechanic opened the trunk of his car.
54,The mechanic kicked the metal stool.
55,The mechanic found his toolbox in the trunk of his car.
56,The mechanic opened the trunk of his car.
57,The mechanic kicked the metal stool.
58,The mechanic found his toolbox in the trunk of his car.
59,The mechanic opened the trunk of his car.
60,Jason wished to pursue a career as a wealthy lawyer.
61,It took Jason 30 minutes to find his resumes.
62,Jason first looked in his bag.
63,Jason wished to pursue a career as a wealthy lawyer.
64,It took Jason 30 minutes to find his resumes.
65,Jason first looked in his bag.
66,Jason wished to pursue a career as a wealthy banker.
67,It took Jason 30 minutes to find his resumes.
68,Jason first looked in his bag.
69,Jason wished to pursue a career as a wealthy banker.
70,It took Jason 30 minutes to find his resumes.
71,Jason first looked in his bag.
72,White roses.
73,"The restaurant was in a neighboring town, but the exact distance is not specified."
74,Tamika had to wait for a half hour before she was seated at the restaurant.
75,White roses.
76,"The restaurant was in a neighboring town, but the exact distance is not specified."
77,Tamika had to wait for a half hour before she was seated at the restaurant.
78,White orchids.
79,"The restaurant was in a neighboring town, but the exact distance is not specified."
80,Tamika had to wait for a half hour before she was seated at the restaurant.
81,White orchids.
82,"The restaurant was in a neighboring town, but the exact distance is not specified."
83,Tamika had to wait for a half hour before she was seated at the restaurant.
84,The criminal wished he still had the rusty hammer.
85,The criminals new hiding place was a seemingly abandoned house.
86,"Yes, the police apprehended the criminal in a timely manner."
87,The criminal wished he still had the rusty hammer.
88,The criminals new hiding place was a seemingly abandoned house.
89,"Yes, the police apprehended the criminal in a timely manner."
90,The criminal wished he still had the rusty chisel.
