,0
0,The amber beer.
1,Sophia reviewed her papers for the next hour before she left the bar.
2,The Madison Hotel.
3,The amber beer.
4,Sophia reviewed her papers for the next hour before she left the bar.
5,The Madison Hotel.
6,The amber scotch.
7,Sophia reviewed her papers for the next hour before she left the bar.
8,The Madison Hotel.
9,The amber scotch.
10,Sophia reviewed her papers for the next hour before she left the bar.
11,The Madison Hotel.
12,The uncle.
13,The hollow tree in the yard.
14,The treasure hunt took place in the neighborhood.
15,The uncle.
16,The hollow tree in the yard.
17,The treasure hunt took place in the neighborhood.
18,The jolly nephew.
19,The hollow tree in the yard.
20,The treasure hunt took place in the neighborhood.
21,The jolly nephew.
22,The hollow tree in the yard.
23,The treasure hunt took place in the neighborhood.
24,The chef would use the metal knife to complete his preparations.
25,"No, the chef should not have been so frustrated."
26,In the rented hall.
27,A knife.
28,"No, the chef should not have been so frustrated."
29,In the rented hall.
30,The metal tongs.
31,"No, the chef should not have been so frustrated."
32,In the rented hall.
33,The metal tongs.
34,"No, the chef should not have been so frustrated."
35,In the rented hall.
36,The lion.
37,The family was already an hour behind schedule when they left the house.
38,The exhibit was located far from the zoo's entrance.
39,The lion.
40,The family was already an hour behind schedule when they left the house.
41,The exhibit was located far from the zoo's entrance.
42,The cheetah.
43,The family was already an hour behind schedule when they left the house.
44,The exhibit was located far from the zoo's entrance.
45,The cheetah.
46,The family was already an hour behind schedule when they left the house.
47,The exhibit was located far from the zoo's entrance.
48,The metal chair.
49,In the remote parking lot.
50,He trudged off toward his car in the remote parking lot.
51,The metal chair.
52,In the remote parking lot.
53,He trudged off toward his car in the remote parking lot.
54,The metal stool.
55,In the remote parking lot.
56,He trudged off toward his car in the remote parking lot.
57,The metal stool.
58,In the remote parking lot.
59,He trudged off toward his car in the remote parking lot.
60,A wealthy lawyer.
61,30 minutes.
62,At his house.
63,A wealthy lawyer.
64,30 minutes.
65,At his house.
66,A wealthy banker.
67,30 minutes.
68,At his house.
69,A wealthy banker.
70,30 minutes.
71,At his house.
72,White roses.
73,2 hours of driving time.
74,30 minutes.
75,White roses.
76,2 hours of driving time.
77,30 minutes.
78,White orchids.
79,2 hours of driving time.
80,30 minutes.
81,White orchids.
82,2 hours of driving time.
83,30 minutes.
84,A hammer.
85,The abandoned house.
86,"No, the police did not apprehend the criminal in a timely manner."
87,A hammer.
88,The abandoned house.
89,"No, the police did not apprehend the criminal in a timely manner."
90,A chisel.
91,The abandoned house.
92,"No, the police did not apprehend the criminal in a timely manner."
93,A chisel.
94,The abandoned house.
95,"No, the police did not apprehend the criminal in a timely manner."
96,Cancer.
97,The gift store was located several blocks away from the hospital.
98,The father waited a long time for the elevator to take him to the lobby.
99,Cancer.
100,The gift store was located several blocks away from the hospital.
101,The father waited a long time for the elevator to take him to the lobby.
102,Smallpox.
103,The gift store was located several blocks away from the hospital.
104,The first thing the father did when he left his daughter's room was to tell his neighbors holding colorful balloons for his daughter that his daughter was battling advanced smallpox.
105,Smallpox.
106,The gift store was located several blocks away from the hospital.
107,The first thing the father did when he left his daughter's room was to tell his neighbors holding colorful balloons for his daughter that his daughter was battling advanced smallpox.
108,The piano.
109,In the homes of her students.
110,3 students.
111,The piano.
112,In the homes of her students.
113,3 students.
114,The viola.
115,In the homes of her students.
116,3 students.
117,The viola.
118,In the homes of her students.
119,3 students.
120,A vintage sailboat.
121,The restaurant was located at the other end of town.
122,30 minutes.
123,A vintage sailboat.
124,The restaurant was located at the other end of town.
125,30 minutes.
126,A schooner.
127,The restaurant was located at the other end of town.
128,30 minutes.
129,A schooner.
130,The restaurant was located at the other end of town.
131,30 minutes.
132,The wooden table in the dining room.
133,The remaining empty boxes in their apartment.
134,1 hour and 30 minutes.
135,The wooden table in the dining room.
136,The remaining empty boxes in their apartment.
