study_num,model,version,mean,sem,n
1,gpt2xl,A,0.2807017543859649,0.06004585739704729,57
1,gpt2xl,B,0.22807017543859648,0.05606981784761176,57
1,gpt2xl,C,0.22807017543859648,0.05606981784761177,57
1,gpt2xl,D,0.21052631578947367,0.05447885994808057,57
1,llama3,A,0.5789473684210527,0.06597717584505354,57
1,llama3,B,0.631578947368421,0.06446025638903098,57
1,llama3,C,0.543859649122807,0.06655775300696491,57
1,llama3,D,0.5263157894736842,0.06672270432067237,57
1,mistral24b,A,0.7017543859649122,0.06113439056466399,57
1,mistral24b,B,0.5964912280701754,0.06555933012294902,57
1,mistral24b,C,0.6140350877192983,0.06505437269382161,57
1,mistral24b,D,0.631578947368421,0.06446025638903098,57
1,mistral7b,A,0.45614035087719296,0.06655775300696491,57
1,mistral7b,B,0.5087719298245614,0.06680502724442025,57
1,mistral7b,C,0.42105263157894735,0.06597717584505354,57
1,mistral7b,D,0.3157894736842105,0.06211545730021918,57
1,pythia,A,0.5789473684210527,0.06597717584505354,57
1,pythia,B,0.543859649122807,0.0665577530069649,57
1,pythia,C,0.42105263157894735,0.06597717584505354,57
1,pythia,D,0.5263157894736842,0.06672270432067237,57
