study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3
study_1,A,01,p01A.txt,"Sophia straightened her suit, took a deep breath, and entered the hotel's bar, just off the lobby. She took a seat at an empty high-top table. She ordered an amber beer, hoping to calm her nerves. The waitress set Sophia's drink on the table and moved on. Before Sophia could even take a sip, her cell phone rang. It was the client calling to confirm their meeting in the lobby of the Madison Hotel. Sophia checked her watch and confirmed that their meeting would begin in ten minutes. She hung up her phone and took a deep breath. Sophia was not looking forward to meeting with this client. He had been very temperamental and borderline rude the last time they met. His arrogant attitude always put her on edge. Over the next few minutes, Sophia made room on the table for some papers and dumped the contents of her briefcase in front of her. She nervously sorted through the documents. Five minutes later, Sophia realized she wouldn't be able to concentrate. She hurried out of the bar, back into the hotel lobby. Sophia quickened her pace when she noticed the client already sitting in a chair, waiting. He rose from his chair and instantly launched into a list of his complaints. Sophia pasted a smile on her face and found herself wishing for the amber beverage she left back in the bar. She mentally prepared herself for what was sure to be a difficult meeting.","['What amber beverage did Sophia leave back at the bar?', 'What did Sophia do before she left the bar?', 'Where was Sophia supposed to meet the client?']",An amber beer.,"She waited for her driver's license to be processed, and then she walked to the hotel lobby.",In a nearby bar.
study_1,A,02,p02A.txt,"Everyone squeezed into the family room, anxious to begin the treasure hunt, an annual family tradition. Joshua loved the party atmosphere and could hardly wait for the day's activities. Children pushed and giggled and the adults gossiped until the booming voice of the jolly uncle could be heard over the excited crowd. ""Everyone knows how this works,"" he shouted. ""I've hidden the family trophy. We end today's search at the park next door. Remember, the first one to find it receives the cash prize and bragging rights for a year. Same rules as always! Ready, set... Go!"" Joshua's heart fluttered in excitement. The trophy was hidden somewhere in the house. Joshua took a few seconds to think about his strategy. He loved challenges like these. He wanted to escape the notice of the others before he started his search. He had a pretty good idea where the treasure might be hidden. Luckily, the room cleared in a few minutes as everyone raced to the more obvious hiding areas: the attic and the basement. Joshua looked around to make sure that no one was in the vicinity of the family room, and then he began his search right there. Minutes later, he carefully climbed the tall bookcase and pulled the trophy from the top shelf where it was hidden behind some volumes. Joshua jumped down and shouted his success. The jolly relative rang a large bell to signal the end of the treasure hunt. Once everyone had gathered in the park, he picked up the excited boy and, holding him high, pronounced Joshua the winner. The family surrounded the boy with their congratulations; the younger ones helping Joshua celebrate his new windfall. Still laughing and talking, the family sat at the picnic table for the celebratory meal.","['Which jolly relative rang the bell to signal the end of the treasure hunt?', 'Where did Joshua look for the treasure first?', 'Where did this treasure hunt take place?']",Josh,The attic.,On the fifth floor of the family's house.
study_1,A,03,p03A.txt,"Wiping his brow with the kitchen towel, the chef paused for a moment in his preparations to survey the mess he had created. This meal had to be perfect, flawless from the appetizers to the dessert. Not wanting to waste time, he picked up the gleaming knife and continued to cut the vegetables for the salad. The timer sounded, signaling that it was time to apply the herb rub to the roast. Where did he put those spices? How could he have forgotten something like that on such an important day? He must have left them in his catering van. Discouraged, the chef couldn't believe that he wasn't prepared for this. Some of the city's most important people would be attending this dinner. To forget something as important as his spices for the roast was the equivalent of professional suicide. The chef only allowed these worries to occupy his mind for a few minutes. Then, jumping up, he ran through the kitchen and out into the rented hall. The tables were beautiful with their floral centerpieces and decadent desserts. Miraculously, he saw his box of spices sitting on the first table! He must have set it down on his way into the kitchen. The chef straightened his shoulders and reclaimed his confidence. He could envision how everything would go. He would first combine the spices in a bowl. Then, he would slide the seasoned roast back into the oven. Finally, he would use his gleaming utensil to complete the preparations. If tonight was successful, he could look forward to an exciting career in the catering business.","['Which gleaming utensil would the chef use to complete his preparations?', 'Given how long it took to retrieve his spices, should the chef have been so frustrated?', 'Where was the chef when he realized that he had forgotten his spice kit?']",Knife.,He had to be.,"At the top of the stairs, his eyes glued to the clock."
study_1,A,05,p05A.txt,"The two girls had never been to the zoo. This trip with their father, Jared, would be the first. The girls endlessly reminded their father that they had to see the fierce lion while they were there. Jared reminded his girls of the other animals that they could see but the girls would not be distracted from their goal. Jared helped his girls examine the zoo map at the entrance. The girls giggled as they made it a race to see who could find the exhibit first. Seconds later, the oldest daughter found it. The exhibit was only a few yards away. She grabbed her sister's hand and pulled on Jared's coat. The girls started running. Jared tried to slow them down, but finally gave in to their eagerness with a laugh. He ran after his excited girls. A few minutes later, he caught up with the girls. They stood before the exhibit. Jumping up and down in excitement, the girls could finally see the fierce animal in the distance. After the girls had their fill of looking at that exhibit, they smiled with satisfaction. The zoo had been a success.","[""Which fierce animal did Jared's girls want to see?"", ""How long did it take for Jared and his girls to travel from the zoo's entrance to the exhibit?"", ""Where was the exhibit located in relation to the zoo's entrance?""]",The lion.,Jared and his girls needed less than ten minutes to travel from the entrance to the exhibit.,"The exhibit was located at the corner of the zoo's front entrance, just outside of the gate."
study_1,A,06,p06A.txt,"The aviation mechanic buried his head in his work rag. He attempted to soak up some of the sweat streaming down his face. He had forgotten a few of his tools, including the one he needed for this repair. He kicked the plastic chair. He longed for the days when he was part of a line maintenance crew, making the simple checks and adjustments necessary before take-offs. He quickly realized that he didn't have time to vent his frustration even though he wanted to. He was up against a deadline just like he always was. He looked around the hangar. The mechanic took a second to moan over the time he would lose looking for his tool. Then he sprang into action. He was about to run to his car when he tripped over his toolbox. He was thankful that he wouldn't have to run out to his car after all. He bent down to rummage through its contents. It took him only a few seconds to locate the forgotten tool. Rising to his feet, he thought about his problem controlling his temper. He felt foolish for kicking the plastic furniture earlier, when he was frustrated. Experience had told him that simple mistakes were nothing to get upset about. Problems usually resolved themselves in the end.","['What piece of plastic furniture did the mechanic kick out of frustration?', 'Where did the mechanic find his toolbox?', 'What was the first thing the mechanic did in order to find his toolbox?']",The work rag.,Inside a toolbox.,He ran to his car.
study_1,A,07,p07A.txt,"Jason looked around his high school gymnasium. It was overwhelmed by the large number of booths, each representing a different career. He wanted to pursue a career in the field of education as a motivating teacher, so locating that information table was his top priority. Jason was grateful for the opportunity to learn more about a variety of jobs. His class requirement was to distribute a minimum of three resumes and participate in interviews today. Many of his classmates today were frustrated with this requirement. Jason, however, was actually looking forward to doing some research about possible career paths. He started to walk across the gym. He hoped he remembered to bring his paperwork. In particular, he needed his resumes so that he could distribute them. Jason had spent a tremendous amount of time collecting the requisite information, and formatting it in an appealing way. He was going to be in big trouble if he didn't have them. Jason felt panic for the briefest of moments. However, he quickly regained his composure. He was usually responsible and thorough when it came to such details. He reached his hand into his bag and began rummaging around. Seconds later, he found his stack of resumes under the papers. Jason was relieved he had the necessary paperwork to start looking into the motivating career he was interested in. He stuffed the stack of resumes in his bag.","['What motivating career did Jason see himself doing in the future?', 'How long did it take for Jason to locate his resumes?', 'Where was the first place that Jason looked for his resumes?']",Jason saw himself working with children in the following career.,It took him less than a minute.,The HR department of his school.
study_1,A,08,p08A.txt,"A soft breeze swirled Tamika's skirt around her ankles. The only sound in the cemetery was the whispering leaves. Tamika wiped a tear from her cheek as she stood by her mother's grave. Her mother's favorite flowers were yellow roses. Tamika placed a bouquet of them on the grave. She hurried out of the cemetery. She did not want to be in that place any longer than necessary. Some people like to linger in the places where their loved ones rest, but this was not Tamika's preference. Her visit to her mother's grave was over. As usual, she was overwhelmed by emotions and memories. Besides, she was meeting her friend for lunch in the cafe across the street. Tamika was very hungry and was glad their meeting was in only five minutes. Looking briefly in both directions, Tamika dashed across the street. Seconds later, she stepped from the cold into the warmth of the cafe. There were plenty of open tables. Tamika chose the one closest to the door. Even though it had been a difficult visit, Tamika was happy that she had put the yellow flowers on her mother's grave. She was sure that her mother would enjoy looking down on those beautiful blooms dancing in the breeze.","[""What kind of yellow flowers did Tamika put on her mother's grave?"", 'How far away was the restaurant where Tamika met her friend for lunch?', 'How long did Tamika have to wait before she was seated at the restaurant?']",Yellow roses,Tamika: I only met her for five minutes.,"Tamika could have waited for at least a half hour, but she was surprised that she was seated so quickly."
study_1,A,09,p09A.txt,"Sirens sounded in the distance. The criminal knew the authorities were closing in. He used a rusty hammer to pry open the old basement window. He started to climb out of the window but saw lights, so he retreated back inside. He sprinted through the house. The criminal burst through the front door. He knew he was safe from the authorities because the entrance was completely hidden by tall hedges. He paused for a moment, wondering what he could do to evade the law. Logic dictated that he stick to the shadows and proceed at a slow and deliberate pace, to avoid being discovered. The criminal used his common sense and did not run. He paused for a minute to think about his options. He needed to be smart about what he did next. His decision could mean the difference between freedom and jail. Seconds later, his thinking was interrupted by the sound of sirens. He decided the safest move was to stay where he was. The criminal retreated deeper into the hedges. He hoped his hiding spot wouldn't be discovered. The sirens passed moments later. The criminal sprung from his hiding place and raced to the house next door. The moon was shining brightly overhead as he paused to catch his breath and listen. The criminal decided it was safe to break into the house. He struggled to open a side window. The criminal wished he still had the rusty tool to help him in his efforts. After he got inside, he tiptoed around. When he got to the kitchen his heart sank when he saw two officers waiting to apprehend him.","['What rusty tool did the criminal wish he still had?', ""Where was the criminal's new hiding place?"", 'Did the police apprehend the criminal in a timely manner?']",A crowbar.,In the hedges! He's in the hedges!,The police did not apprehend the criminal in a timely manner.
study_1,A,10,p10A.txt,"Following the doctor's visit, The tension in the hospital room was palpable. All the parents could hear was the echo of the doctor's diagnosis: their daughter was battling an aggressive cancer. There was so much sadness here. Of course, it could have been worse. The parents were eager to do something to cheer up their daughter. They decided to find something that would make her smile when she woke up. The father remembered the gift store that he and his wife had seen. The father decided to buy their daughter a new teddy bear. His wife asked him to hurry. This was easy to do since the gift store was just down the hall from their daughter's room. Seconds later, the father started sprinting through the 7th floor of the hospital. After a few strides, he saw his neighbors walking down the hall. They had come to visit his daughter. They had brought colorful balloons, but the father pushed past the group. He raced to the gift store. He was the only customer in the store so the purchase was quick. Just a few minutes after arriving, he exited the store. He was physically tired from his hurrying. He was also emotionally drained. He tucked the teddy bear under his arm and took a deep breath. He knew they could be strong as they fought this aggressive disease as a family. Together, they would make it through this.","['Which aggressive disease was the daughter fighting?', 'Where was the gift store located?', ""What was the first thing the father did when he left his daughter's room?""]",Her metastatic breast cancer.,The gift store was located in the basement of the hospital.,"He called his wife, ""I love you""."
study_1,A,11,p11A.txt,"The music instructor looked outside. The snow that was falling beyond her window was dense and wet. Running her fingers lovingly over the shabby piano, she sighed. She prepared for the day. She was already cold so she wrapped another sweater around her thin shoulders. The day's lessons were about to start. Students traveled to her home every day. The music instructor liked this arrangement. It was convenient because she didn't have to leave her home. All she had to do was to wait for the students to arrive. The music instructor waited for only two minutes when her phone rang. It was her first student calling to cancel. The instructor settled in to wait for the second student. But only one minute later, her phone rang again. It was that student, also calling to cancel! The music instructor had barely hung up her cell when she heard from the third and final student of the day. He was also calling to cancel his lesson. The instructor suddenly had no lessons to teach for the day. Only a few minutes had passed. The music instructor hadn't even left her chair. Getting up, she walked to the front door to retrieve the day's mail. She looked forward to spending the afternoon in the warmth of her home, her fingers dancing over the shabby instrument she loved. She couldn't wait to ease into a familiar aria, letting her eyes drift closed so she could completely enjoy the music as she played. She hoped that someday one of her students would find the release and comfort that she did when she sat down on the bench.","['Which shabby instrument did the instructor love playing?', 'Where did the music instructor give her lessons?', 'How many students did the music instructor see today?']",The shabby instrument she loved playing was the piano.,In her home.,"When she left her house, she saw a total of 7 students."
