GPT2,RoBERTa,Mistral-7B,pythia-12b-deduped,LLaMa-3.1-8B,Mistral-24B
4.304654121,17.37179565,7.62109375,5.508329868,6.587268829,6.58203125
4.381081104,17.3436985,7.649414063,5.643245697,6.758851051,6.5703125
6.662396431,17.42923737,10.33337402,8.449334145,9.813205719,9.2734375
7.101247311,17.43678474,10.61486816,8.446959496,10.07527828,9.2265625
8.172236443,36.22157669,7.09765625,7.59935236,7.305582047,7.21875
8.545824051,35.29629517,7.234375,7.870148659,7.814500809,7.359375
7.343806267,36.7328186,5.8125,6.233886242,4.751484394,5.4609375
8.189969063,36.13365936,6.18359375,6.665504932,5.442420959,6.13671875
5.1006682,88.98053741,7.087892532,5.965664376,6.350746155,6.707061768
5.046007553,85.51582909,6.906251907,5.839485875,6.264414907,6.588897705
8.212566081,89.08028221,7.851564407,7.67275441,7.896589041,7.536155701
8.299928332,88.87402344,7.777345657,7.647400266,7.800688505,7.458030701
4.449441433,24.54337692,5.87109375,6.398446083,4.999081135,3.63671875
4.458688736,23.78246498,5.94140625,6.586222649,4.889527321,3.673828125
4.744571209,22.8948307,4.9609375,4.863516808,4.391955853,3.130859375
4.813656807,23.31111717,5.046875,4.738234043,4.282574654,3.0703125
7.354469299,16.82099152,8.3359375,7.760910988,8.379803658,7.25390625
7.127330303,17.05947876,8.5390625,8.026922226,8.75,7.3046875
9.09708786,17.57660484,9.3203125,8.119884491,8.912495613,9.3828125
9.587612152,17.84797668,9.75,8.810136795,9.468154907,9.59375
3.438823938,8.726044655,2.736328125,3.709003448,3.159057856,1.963867188
2.884910345,8.591306686,2.66796875,3.697477102,3.140855074,1.940429688
3.735624552,9.108054161,3.349609375,3.492758274,4.075306892,2.8125
3.350817442,8.62455368,3.228515625,3.77995348,3.978527308,2.845703125
4.22420454,20.33808899,3.291015625,3.246580839,3.713594437,4.4375
4.556902885,20.24128532,3.533203125,3.516880989,3.928916454,4.47265625
2.755918741,18.91445541,2.541015625,1.507741451,3.09803772,3.67578125
2.983956814,18.7955513,2.80078125,1.769204021,3.407245636,3.845703125
4.580179691,14.90595341,7.203125,4.531849384,6.361001015,6.32421875
4.618096828,14.7613306,6.98828125,4.827629089,5.954672337,6.48828125
5.196076393,14.49414921,5.7734375,5.058812141,7.546320915,6.21875
5.20514679,14.82969379,5.58984375,5.014193058,7.098603725,6.16015625
1.599349737,16.94162178,2.75,2.836792231,4.067849159,2.427734375
1.446204782,17.47399139,2.462890625,2.740701675,3.919169426,2.376953125
0.760427773,14.66772175,1.318359375,2.307619333,2.008762121,1.553710938
0.5979728699,15.21386623,1.334960938,2.390456438,1.978404641,1.65234375
4.615775108,39.66836929,6.01953125,5.155085564,6.428450108,6.8515625
4.971850872,39.51084137,5.97265625,5.012460709,6.175336361,6.9609375
3.438267946,41.06984329,5.22265625,4.839140415,3.600371838,4.7578125
4.229962826,40.75035858,5.171875,4.999205112,3.63111496,4.94140625
6.549272537,15.23214531,9.0078125,7.875014782,8.305516243,8.7265625
6.592063904,16.785429,8.953125,7.704232693,8.302144051,8.625
6.150159836,15.59664059,7.27734375,6.077562332,6.552218914,7.953125
5.873114586,14.45932007,7.1171875,5.832973003,6.603632927,7.9375
3.511890411,10.98071575,6.44921875,5.876663208,6.542442799,5.35546875
3.596191406,11.14473152,6.57421875,5.518301964,6.436824322,5.5078125
3.420858145,10.87639618,4.24609375,5.984203815,4.790525913,5.1015625
3.35978961,10.6921854,4.41796875,5.748764992,4.75528574,5.04296875
4.392389297,21.43917847,4.6328125,5.870135784,5.886088371,4.6640625
4.462029457,19.73532295,4.90234375,5.865173817,5.986963749,4.80859375
4.530603409,19.51387215,3.919921875,5.766395092,5.296666145,4.86328125
5.1530056,17.3092823,4.02734375,5.835526943,5.56633234,5
6.590299129,38.78530121,3.848633766,5.411636829,4.74571991,3.396484375
6.590299129,39.86809158,3.848633766,5.411636829,4.74571991,3.396484375
10.2141366,72.50565529,7.259521484,7.15502429,7.604127899,8.282226563
10.21413767,72.68263435,7.259521484,7.15502429,7.604124084,8.282226563
11.7081337,13.89885139,11.46875,8.790980339,10.74195194,10.4609375
11.29878139,13.39130116,11.203125,8.560070992,10.65190601,10.4921875
11.25885201,11.6270771,10.421875,9.536852837,11.00501251,10.7578125
11.0553093,10.26389599,10.3046875,9.589139938,10.76382351,10.6640625
4.990342617,20.49468803,5.265625,5.023691177,5.528026104,4.609375
4.912077904,21.42518234,5.25,4.985821247,5.504361153,4.171875
4.987004757,17.6947937,3.373046875,3.544300318,3.575472832,3.697265625
5.306295872,18.76465034,3.55859375,3.695529222,3.552325487,3.572265625
0.5243347287,23.97144508,0.5043945313,0.4921969175,0.3737532198,0.2644042969
0.4777444601,23.47812843,0.5009765625,0.4872865081,0.3820048869,0.2626953125
0.8107337952,23.91534233,0.521484375,0.4760140777,0.4660242498,0.3220214844
0.6506817341,23.15396118,0.505859375,0.4148105979,0.4421039224,0.3188476563
3.49431777,35.01718903,5.061203003,4.374056339,5.281210899,5.47265625
3.459815741,35.5935173,4.4140625,4.219851971,4.879297256,5.0234375
3.844361067,34.15789413,6.480224609,4.413649082,5.353131294,6.54296875
4.122880936,34.58543777,5.270996094,4.56381321,5.089129925,6.109375
5.402309895,14.50477505,5.60546875,6.323006153,5.650884628,5.71875
5.185138226,14.12895012,5.71484375,6.37659359,5.696987152,5.8671875
5.587824821,13.97077847,6.01171875,6.024256706,5.926050186,6.80078125
5.313720226,13.93518734,6.1640625,5.973601341,6.213443279,7.22265625
