study_num,model,version,mean,sem,n
3,gpt2xl,A,0.34375,0.08530513305661301,32
3,gpt2xl,B,0.5,0.08980265101338744,32
3,gpt2xl,C,0.34375,0.08530513305661301,32
3,gpt2xl,D,0.6875,0.08324928557283298,32
3,llama3,A,0.9375,0.04347552147751577,32
3,llama3,B,0.96875,0.03125,32
3,llama3,C,0.90625,0.0523514603733822,32
3,llama3,D,0.875,0.059398870413936426,32
3,mistral24b,A,0.9375,0.04347552147751577,32
3,mistral24b,B,0.96875,0.03125,32
3,mistral24b,C,0.96875,0.03125,32
3,mistral24b,D,0.96875,0.03125,32
3,mistral7b,A,0.5625,0.08909830562090465,32
3,mistral7b,B,0.53125,0.08962708359030336,32
3,mistral7b,C,0.625,0.08695104295503155,32
3,mistral7b,D,0.75,0.07777137710478188,32
3,pythia,A,0.8125,0.0701021719786843,32
3,pythia,B,0.75,0.07777137710478188,32
3,pythia,C,0.90625,0.0523514603733822,32
3,pythia,D,0.84375,0.06521328221627366,32
