GPT2,RoBERTa,Mistral-7B,pythia-12b-deduped,LLaMa-3.1-8B,Mistral-24B
4.756928444,16.49809456,6.583007813,5.690038204,6.345325947,6.1171875
4.62816143,17.49532318,6.152832031,5.64712286,6.168932915,5.8828125
4.52889967,17.97193336,7.154296875,5.630083084,6.171740532,6.52734375
4.423125267,17.44624901,7.400390625,5.77453804,6.293687344,6.63671875
8.955016136,37.05885696,8.1171875,7.492063522,8.224104881,7.5625
8.991344452,36.31016159,7.8203125,7.94970417,8.113911629,7.2421875
8.743360519,37.51089096,7.69140625,7.602838039,8.125593185,7.546875
8.768834114,36.10860443,7.39453125,8.024757385,7.802118778,7.47265625
7.19031629,112.5663776,8.499027252,8.264661392,9.844010115,9.011720657
7.43786986,111.571909,8.863288879,8.810073351,9.875262022,9.608402252
7.469128161,110.8764515,8.807132721,8.213022309,9.382309675,9.401371002
7.302243421,111.3378696,9.342288971,8.235521053,9.156246662,9.809574127
4.59646368,24.49142647,5.31640625,6.179202557,4.109117031,2.947265625
4.464473724,24.04150581,5.91015625,6.816948891,4.281202316,3.48046875
4.289215088,24.12588882,5.61328125,6.098415375,4.898751259,3.31640625
4.319422245,21.7728138,5.7734375,6.417595387,4.890931606,3.572265625
6.750867844,21.06593895,7.58203125,7.533308506,7.306051254,8.6640625
7.047226906,20.6000309,7.515625,7.427966118,7.22585535,9.015625
6.782079697,20.85358238,7.55859375,7.396202564,7.528208256,8.6015625
7.079999924,16.4195385,7.8125,7.502865314,7.592570305,9.1171875
1.607572198,6.498317242,4.578125,3.941551208,4.088373184,2.822265625
1.871239662,5.946769238,4.203125,3.928143263,3.573259354,2.712890625
2.161902666,6.725206375,4.19921875,4.629098415,3.582228184,2.572265625
1.980687618,5.166046143,4.30078125,3.993584633,3.780593634,2.6171875
2.949438334,21.84582901,3.75,3.400387526,3.90858984,3.7109375
2.97721386,21.62251091,3.984375,3.909616709,4.106607914,4.23046875
3.045407295,22.44207573,3.193359375,3.414035797,3.978983879,3.77734375
3.18761611,21.24631691,3.529296875,4.011455536,3.814441681,4.23828125
5.568655968,13.98071861,6.0625,4.312648296,5.726055145,6.34375
5.579965591,17.15865898,6.859375,4.840649605,6.254009247,6.5625
5.548705578,15.83269978,6.37890625,4.555755138,6.428776264,6.609375
5.409378052,16.34815407,6.54296875,4.679513931,6.117670059,6.41796875
2.531177521,20.55673599,2.58984375,2.703429937,3.110718966,2.02734375
2.177834272,20.64240265,2.107421875,2.280058384,2.67613101,1.9296875
2.646025896,20.46415138,2.470703125,2.612769604,3.008426666,2.318359375
2.182102919,20.49179268,2.083984375,2.442559958,2.996299744,2.021484375
6.044616222,40.34837341,5.58203125,5.35221529,5.600127697,6.6171875
5.419495106,39.96151352,5.609375,5.118732929,5.814272881,7.08203125
5.440274715,39.5919342,6.1796875,5.090167046,5.931516171,7.01171875
4.82383728,39.17432022,5.77734375,5.18107748,6.17591238,6.8828125
6.710009843,36.62637138,9.307861328,7.798007816,7.980251074,8.917480469
6.932762444,35.64033699,9.442871094,7.87716803,8.262301445,8.953125
7.243792266,34.15564823,9.457763672,8.111945957,8.251022696,8.931152344
7.187004089,35.67074585,10.04150391,8.274947822,9.422391355,9.538574219
5.607965946,13.37493229,5.77734375,6.56273365,6.558104992,5.3046875
5.996811867,14.21403885,5.87890625,6.265048504,6.859106541,5.51953125
5.149237633,12.7084465,6.37890625,6.396467686,6.799390793,5.3671875
5.069173813,11.66462517,6.8671875,6.134558678,6.780528545,5.3359375
3.154312372,18.62075043,4.5859375,5.289019108,5.170623302,4.79296875
4.211040974,17.25239754,5.625,5.716351986,5.987328053,5.44140625
3.960407972,19.48714066,4.73828125,5.166433811,5.441735268,4.375
3.789797068,19.27977943,4.51171875,5.094169617,5.309265614,4.49609375
6.590288162,37.46774292,3.850586891,5.411636829,4.745719433,3.396484375
6.590288162,37.49943161,3.848633766,5.411636829,4.745719433,3.396484375
6.590288162,38.47639847,3.850586891,5.411636829,4.745719433,3.396484375
6.590294838,37.59388351,3.848633766,5.411634922,4.74571991,3.396484375
2.09466815,14.78729153,3.232421875,1.902049899,3.261590958,3.669921875
2.426790237,14.25622845,3.1640625,1.899839044,3.673776388,3.81640625
2.099819899,12.55743122,2.662109375,1.820658565,3.222966671,3.087890625
2.359976292,10.84400463,3.685546875,2.008505106,4.092335701,3.71875
2.071773052,32.60860062,2.748046875,2.838422775,2.362660408,3.71484375
2.036131144,34.22712708,2.572265625,2.509521961,2.469456434,3.90625
2.527048826,33.08563614,3.046875,3.050320148,2.781780958,4.21875
2.40717721,32.21757126,3.677734375,3.141492128,3.156428814,4.34765625
1.668826699,49.27429962,1.839355469,1.964876413,1.717143595,1.622558594
1.487602293,44.80900574,1.817871094,1.766774714,2.01040715,2.017578125
1.260368526,47.94424057,1.442871094,1.542890131,1.4508394,1.510253906
1.253915191,45.68579674,1.401367188,1.708670199,1.42994532,1.633300781
4.734701991,55.8470192,4.572273254,5.616569996,4.915950596,5.673828125
5.116221666,49.16203499,6.713485718,6.119511008,6.066381216,6.051757813
4.642598271,54.42950439,5.159671783,5.29160428,5.024136186,5.5546875
5.297159672,49.30183029,6.472244263,6.178632379,6.489590645,6.208984375
5.798856616,30.43956852,5.460693359,6.570956767,6.274044722,6.406005859
6.108572006,31.65979004,5.930664063,6.873119831,6.632584691,6.708496094
5.971082717,31.50428486,5.406616211,6.268446803,5.8448852,6.180908203
5.912599266,30.34396744,5.821533203,6.357063174,6.306060106,6.377441406
