Passage,A,B,C,D
1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,1.0,1.0,1.0,1.0
3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,1.0,1.0,1.0,1.0
12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
14,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
17,1.0,1.0,1.0,1.0
18,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
20,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
